atl_food_place_id,atl_food_place_title,menu_item_id,title,calories,protein_g,carbs_g,fat_g,cholesterol_mg,sodium_mg,nutrition_score
2,Gusto! Healthy Bowls & Wraps (West End),78,Chipotle Mango Avocado| Flat Bread Wrap| Umami Tofu,759.0,23.5,80.0,25.0,35.5,2173.5,2.06
2,Gusto! Healthy Bowls & Wraps (West End),76,Chipotle Mango Avocado | Mixed Greens| Umami Tofu,494.0,14.0,47.0,19.0,13.0,1280.0,2.05
2,Gusto! Healthy Bowls & Wraps (West End),134,Ginger Lime Peanut | Flat Bread Wrap | Grilled Spicy Chicken,705.0,56.5,54.5,27.0,170.0,2116.5,2.05
2,Gusto! Healthy Bowls & Wraps (West End),130,Ginger Lime Peanut | Flat Bread Wrap |Grilled Chicken,705.0,55.5,52.5,28.0,170.0,2035.5,2.04
2,Gusto! Healthy Bowls & Wraps (West End),184,Lemon Pepper Ranch  | Mixed Greens| Halfed Avocado,326.0,4.0,22.0,27.0,0.0,344.0,2.03
2,Gusto! Healthy Bowls & Wraps (West End),106,Queso Verde Queso | Flat Bread Wrap | Halfed Avocado,502.0,16.5,49.0,23.0,32.5,1485.0,2.03
2,Gusto! Healthy Bowls & Wraps (West End),38,Curry Apple Pecan | Flat Bread Wrap| Umami Tofu,646.0,18.0,63.5,23.0,0.0,2125.0,2.02
2,Gusto! Healthy Bowls & Wraps (West End),87,Queso Verde Queso | Brown Rice | Grilled Chicken,705.0,52.0,52.0,31.0,230.0,2210.0,1.99
2,Gusto! Healthy Bowls & Wraps (West End),157,Polynesian Chili Mango | Half & Half | Umami Tofu,391.0,8.0,41.0,12.0,0.0,990.0,1.99
2,Gusto! Healthy Bowls & Wraps (West End),170,Lemon Pepper Ranch  | Flat Bread Wrap |Grilled Chicken,855.0,53.0,52.0,46.5,197.5,2165.0,1.99
2,Gusto! Healthy Bowls & Wraps (West End),182,Lemon Pepper Ranch | Flat Bread Wrap |Grilled Shrimp,715.0,29.0,52.0,40.5,170.5,2465.0,1.99
2,Gusto! Healthy Bowls & Wraps (West End),66,Tahini Cucumber Feta| Flat Bread Wrap | Halfed Avocado,624.0,20.5,60.5,30.5,20.0,1731.5,1.99
2,Gusto! Healthy Bowls & Wraps (West End),91,Queso Verde Queso | Brown Rice | Grilled Spicy Chicken,705.0,53.0,54.0,30.0,230.0,2291.0,1.98
2,Gusto! Healthy Bowls & Wraps (West End),73,Chipotle Mango Avocado| Half & Half | Grilled Spicy Chicken,696.0,53.0,66.0,27.0,183.0,1642.0,1.98
2,Gusto! Healthy Bowls & Wraps (West End),54,Tahini Cucumber Feta | Flat Bread Wrap | Grilled Spicy Chicken,757.0,60.5,59.5,28.5,190.0,2632.5,1.98
2,Gusto! Healthy Bowls & Wraps (West End),139,Ginger Lime Peanut| Brown Rice | Grilled Shrimp,636.0,25.0,64.0,30.0,143.0,2029.0,1.98
2,Gusto! Healthy Bowls & Wraps (West End),174,Lemon Pepper Ranch  | Flat Bread Wrap | Grilled Spicy Chicken,855.0,54.0,54.0,45.5,197.5,2246.0,1.98
2,Gusto! Healthy Bowls & Wraps (West End),64,Tahini Cucumber Feta | Mixed Greens| Halfed Avocado,346.0,10.0,25.0,24.0,20.0,739.0,1.98
2,Gusto! Healthy Bowls & Wraps (West End),50,Tahini Cucumber Feta | Flat Bread Wrap |Grilled Chicken,757.0,59.5,57.5,29.5,190.0,2551.5,1.97
2,Gusto! Healthy Bowls & Wraps (West End),69,Chipotle Mango Avocado | Half & Half | Grilled Chicken,696.0,52.0,64.0,28.0,183.0,1561.0,1.97
2,Gusto! Healthy Bowls & Wraps (West End),167,Lemon Pepper Ranch | Brown Rice | Grilled Chicken,1020.0,46.0,59.0,67.0,225.0,1925.0,1.95
2,Gusto! Healthy Bowls & Wraps (West End),126,Sweet Soy Sriracha | Flat Bread Wrap | Halfed Avocado,506.5,13.5,68.0,17.0,3.0,1572.5,1.95
2,Gusto! Healthy Bowls & Wraps (West End),171,Lemon Pepper Ranch  | Brown Rice | Grilled Spicy Chicken,1020.0,47.0,61.0,66.0,225.0,2006.0,1.94
2,Gusto! Healthy Bowls & Wraps (West End),30,Curry Apple Pecan | Flat Bread Wrap |Grilled Chicken,766.0,55.0,61.5,32.0,170.0,2305.0,1.93
2,Gusto! Healthy Bowls & Wraps (West End),59,Tahini Cucumber Feta| Brown Rice | Grilled Shrimp,664.0,29.0,67.0,30.0,163.0,2603.0,1.93
2,Gusto! Healthy Bowls & Wraps (West End),36,Curry Apple Pecan | Mixed Greens| Umami Tofu,385.0,8.0,26.0,19.0,0.0,1164.0,1.92
2,Gusto! Healthy Bowls & Wraps (West End),127,Ginger Lime Peanut | Brown Rice | Grilled Chicken,776.0,49.0,64.0,36.0,170.0,1729.0,1.92
2,Gusto! Healthy Bowls & Wraps (West End),34,Curry Apple Pecan | Flat Bread Wrap | Grilled Spicy Chicken,766.0,56.0,63.5,31.0,170.0,2386.0,1.92
2,Gusto! Healthy Bowls & Wraps (West End),77,Chipotle Mango Avocado | Half & Half | Umami Tofu,576.0,15.0,66.0,19.0,13.0,1381.0,1.91
2,Gusto! Healthy Bowls & Wraps (West End),176,Lemon Pepper Ranch | Mixed Greens| Umami Tofu,339.0,6.0,21.0,17.0,0.0,984.0,1.91
2,Gusto! Healthy Bowls & Wraps (West End),131,Ginger Lime Peanut | Brown Rice | Grilled Spicy Chicken,776.0,50.0,66.0,35.0,170.0,1810.0,1.9
2,Gusto! Healthy Bowls & Wraps (West End),47,Tahini Cucumber Feta | Brown Rice | Grilled Chicken,804.0,53.0,67.0,36.0,190.0,2303.0,1.9
2,Gusto! Healthy Bowls & Wraps (West End),51,Tahini Cucumber Feta | Brown Rice | Grilled Spicy Chicken,804.0,54.0,69.0,35.0,190.0,2384.0,1.88
2,Gusto! Healthy Bowls & Wraps (West End),82,Chipotle Mango Avocado | Flat Bread Wrap |Grilled Shrimp,739.5,36.5,78.0,28.0,178.5,2653.5,1.88
2,Gusto! Healthy Bowls & Wraps (West End),166,Polynesian Chili Mango  | Flat Bread Wrap | Halfed Avocado,537.0,14.0,64.0,22.0,0.0,1045.0,1.87
2,Gusto! Healthy Bowls & Wraps (West End),27,Curry Apple Pecan | Brown Rice | Grilled Chicken,796.0,48.0,73.0,36.0,170.0,2025.0,1.86
2,Gusto! Healthy Bowls & Wraps (West End),84,Chipotle Mango Avocado | Mixed Greens| Halfed Avocado,481.0,12.0,48.0,29.0,13.0,640.0,1.85
2,Gusto! Healthy Bowls & Wraps (West End),44,Curry Apple Pecan | Mixed Greens| Halfed Avocado,372.0,6.0,27.0,29.0,0.0,524.0,1.85
2,Gusto! Healthy Bowls & Wraps (West End),31,Curry Apple Pecan | Brown Rice | Grilled Spicy Chicken,796.0,49.0,75.0,35.0,170.0,2106.0,1.85
2,Gusto! Healthy Bowls & Wraps (West End),39,Curry Apple Pecan | Brown Rice | Grilled Shrimp,656.0,24.0,73.0,30.0,143.0,2325.0,1.83
2,Gusto! Healthy Bowls & Wraps (West End),70,Chipotle Mango Avocado | Flat Bread Wrap |Grilled Chicken,879.5,60.5,78.0,34.0,205.5,2353.5,1.83
2,Gusto! Healthy Bowls & Wraps (West End),74,Chipotle Mango Avocado | Flat Bread Wrap | Grilled Spicy Chicken,879.0,61.5,80.0,33.0,205.5,2434.5,1.81
2,Gusto! Healthy Bowls & Wraps (West End),86,Chipotle Mango Avocado | Flat Bread Wrap | Halfed Avocado,746.5,21.5,81.0,35.0,35.5,1533.5,1.8
2,Gusto! Healthy Bowls & Wraps (West End),37,Curry Apple Pecan | Half & Half | Umami Tofu,467.0,9.0,45.0,19.0,0.0,1265.0,1.79
2,Gusto! Healthy Bowls & Wraps (West End),65,Tahini Cucumber Feta | Half & Half | Halfed Avocado,428.0,11.0,44.0,24.0,20.0,840.0,1.78
2,Gusto! Healthy Bowls & Wraps (West End),79,Chipotle Mango Avocado | Brown Rice | Grilled Shrimp,774.0,29.0,85.0,34.0,201.0,2306.0,1.78
2,Gusto! Healthy Bowls & Wraps (West End),67,Chipotle Mango Avocado | Brown Rice | Grilled Chicken,914.0,53.0,85.0,40.0,228.0,2006.0,1.78
2,Gusto! Healthy Bowls & Wraps (West End),185,Lemon Pepper Ranch  | Half & Half | Halfed Avocado,408.0,5.0,41.0,27.0,0.0,445.0,1.78
2,Gusto! Healthy Bowls & Wraps (West End),71,Chipotle Mango Avocado | Brown Rice | Grilled Spicy Chicken,914.0,54.0,87.0,39.0,228.0,2087.0,1.77
2,Gusto! Healthy Bowls & Wraps (West End),177,Lemon Pepper Ranch | Half & Half | Umami Tofu,421.0,7.0,40.0,17.0,0.0,1085.0,1.77
2,Gusto! Healthy Bowls & Wraps (West End),179,Lemon Pepper Ranch  | Brown Rice | Grilled Shrimp,880.0,22.0,59.0,61.0,198.0,2225.0,1.74
2,Gusto! Healthy Bowls & Wraps (West End),95,Queso Verde Queso | Brown Rice | Umami Tofu,585.0,15.0,54.0,22.0,60.0,2030.0,1.74
2,Gusto! Healthy Bowls & Wraps (West End),46,Curry Apple Pecan | Flat Bread Wrap | Halfed Avocado,633.0,16.0,64.5,33.0,0.0,1485.0,1.71
2,Gusto! Healthy Bowls & Wraps (West End),55,Tahini Cucumber Feta | Brown Rice | Umami Tofu,684.0,16.0,69.0,27.0,20.0,2123.0,1.63
2,Gusto! Healthy Bowls & Wraps (West End),178,Lemon Pepper Ranch  | Flat Bread Wrap| Umami Tofu,735.0,16.0,54.0,37.5,27.5,1985.0,1.61
2,Gusto! Healthy Bowls & Wraps (West End),45,Curry Apple Pecan | Half & Half | Halfed Avocado,454.0,7.0,46.0,29.0,0.0,625.0,1.6
2,Gusto! Healthy Bowls & Wraps (West End),85,Chipotle Mango Avocado | Half & Half | Halfed Avocado,563.0,13.0,67.0,29.0,13.0,741.0,1.6
2,Gusto! Healthy Bowls & Wraps (West End),115,Sweet Soy Sriracha | Brown Rice | Umami Tofu,565.0,8.0,90.0,7.0,3.0,2203.0,1.6
2,Gusto! Healthy Bowls & Wraps (West End),155,Polynesian Chili Mango  | Brown Rice | Umami Tofu,560.0,8.0,78.0,12.0,0.0,1240.0,1.58
2,Gusto! Healthy Bowls & Wraps (West End),146,Ginger Lime Peanut | Flat Bread Wrap | Halfed Avocado,572.0,16.5,55.5,29.0,572.0,1215.5,1.53
2,Gusto! Healthy Bowls & Wraps (West End),135,Ginger Lime Peanut | Brown Rice | Umami Tofu,656.0,12.0,66.0,27.0,0.0,1549.0,1.47
2,Gusto! Healthy Bowls & Wraps (West End),186,Lemon Pepper Ranch  | Flat Bread Wrap | Halfed Avocado,722.0,14.0,55.0,47.5,27.5,1345.0,1.47
2,Gusto! Healthy Bowls & Wraps (West End),63,Tahini Cucumber Feta | Brown Rice | Halfed Avocado,671.0,14.0,70.0,37.0,20.0,1483.0,1.43
2,Gusto! Healthy Bowls & Wraps (West End),163,Polynesian Chili Mango | Brown Rice | Halfed Avocado,547.0,6.0,79.0,22.0,0.0,600.0,1.42
2,Gusto! Healthy Bowls & Wraps (West End),103,Queso Verde Queso | Brown Rice | Halfed Avocado,572.0,13.0,55.0,32.0,60.0,1390.0,1.41
2,Gusto! Healthy Bowls & Wraps (West End),35,Curry Apple Pecan | Brown Rice | Umami Tofu,676.0,11.0,75.0,27.0,0.0,1845.0,1.32
2,Gusto! Healthy Bowls & Wraps (West End),75,Chipotle Mango Avocado | Brown Rice | Umami Tofu,794.0,16.0,87.0,31.0,58.0,1826.0,1.29
2,Gusto! Healthy Bowls & Wraps (West End),143,Ginger Lime Peanut | Brown Rice | Halfed Avocado,643.0,10.0,67.0,37.0,0.0,909.0,1.27
2,Gusto! Healthy Bowls & Wraps (West End),123,Sweet Soy Sriracha | Brown Rice | Halfed Avocado,552.0,6.0,91.0,17.0,3.0,1563.0,1.24
2,Gusto! Healthy Bowls & Wraps (West End),83,Chipotle Mango Avocado | Brown Rice | Halfed Avocado,781.0,14.0,88.0,41.0,58.0,1186.0,1.14
2,Gusto! Healthy Bowls & Wraps (West End),43,Curry Apple Pecan | Brown Rice | Halfed Avocado,663.0,9.0,76.0,37.0,0.0,1205.0,1.12
2,Gusto! Healthy Bowls & Wraps (West End),175,Lemon Pepper Ranch  | Brown Rice | Umami Tofu,900.0,9.0,61.0,58.0,55.0,1745.0,0.98
2,Gusto! Healthy Bowls & Wraps (West End),183,Lemon Pepper Ranch | Brown Rice | Halfed Avocado,887.0,7.0,62.0,68.0,55.0,1105.0,0.83
